Date,AMZN,IBM,MSFT
2015-01-02,15.425999641418457,99.99213409423828,40.072139739990234
2015-01-05,15.10949993133545,98.4188003540039,39.70362854003906
2015-01-06,14.76449966430664,96.29625701904297,39.12089538574219
2015-01-07,14.920999526977539,95.66692352294922,39.61792755126953
2015-01-08,15.02299976348877,97.74626159667969,40.78342056274414
2015-01-09,14.846500396728516,98.17195892333984,40.440635681152344
2015-01-12,14.570500373840332,96.52456665039062,39.93502426147461
2015-01-13,14.737000465393066,96.7528305053711,39.729339599609375
2015-01-14,14.66349983215332,96.1296615600586,39.386558532714844
2015-01-15,14.34749984741211,95.37075805664062,38.9752082824707
2015-01-16,14.536999702453613,96.95646667480469,39.62650680541992
2015-01-20,14.472000122070312,96.83926391601562,39.75504684448242
2015-01-21,14.862500190734863,93.84058380126953,39.352272033691406
2015-01-22,15.515999794006348,95.87670135498047,40.389217376708984
2015-01-23,15.619500160217285,96.17284393310547,40.43206024169922
2015-01-26,15.482999801635742,96.4751968383789,40.286376953125
2015-01-27,15.337499618530273,94.81546020507812,36.558528900146484
2015-01-28,15.195500373840332,93.5074234008789,35.29877853393555
2015-01-29,15.58899974822998,95.93223571777344,36.00150680541992
2015-01-30,17.726499557495117,94.59332275390625,34.621768951416016
2015-02-02,18.223499298095703,95.42627716064453,35.37590408325195
2015-02-03,18.177499771118164,97.7770767211914,35.650150299072266
2015-02-04,18.237499237060547,96.84539794921875,35.85581588745117
2015-02-05,18.694499969482422,97.43153381347656,36.37855911254883
2015-02-06,18.714000701904297,97.37564086914062,36.34428787231445
2015-02-09,18.527999877929688,96.77293395996094,36.301456451416016
2015-02-10,18.649999618530273,98.51890563964844,36.50710678100586
2015-02-11,18.756999969482422,98.29524230957031,36.318580627441406
2015-02-12,18.85849952697754,98.49401092529297,36.92704772949219
2015-02-13,19.09149932861328,99.66214752197266,37.5954704284668
2015-02-17,18.771499633789062,100.01010131835938,37.61274337768555
2015-02-18,18.668500900268555,100.77436065673828,37.569583892822266
2015-02-19,18.950000762939453,101.83063507080078,37.54369354248047
2015-02-20,19.183000564575195,101.6814956665039,37.85440444946289
2015-02-23,19.006999969482422,101.22169494628906,38.104679107666016
2015-02-24,18.929500579833984,102.4146728515625,38.052894592285156
