,MSE,RMSE,MAE,R2
AMZN,5320.28369140625,72.9402748240384,67.23919677734375,-0.3265261650085449
IBM,21285.87109375,145.89678232829536,126.87814331054688,-1.4812581539154053
MSFT,64.71343994140625,8.044466417445364,6.474177837371826,0.9667624235153198
